problem_id,title,difficulty,three_strategy_pattern,teacher_status,teacher_passed_tests,teacher_total_tests,teacher_test_pass_ratio,teacher_plan_correctness,implementation_fidelity,primary_bottleneck,failure_type,algorithm_category,missing_or_wrong_information,analysis_note
abc302_f,Merge Set,hard,F-F-F,RUNTIME_ERROR,0,16,0.0,Correct,Low,Implementation,Runtime Error / Input Parsing,Graph / 0-1 BFS,"None. The plan specified the set-value bipartite graph and a 0-1 BFS with a deque, cost 1 entering a set and 0 leaving one.","The code reads each set element with its own input() call although the elements share one line, so it crashes on the first set. Beyond that, it uses a plain BFS with uniform cost instead of the 0-1 deque BFS, mixes value indices and set indices in one graph array without an offset for values, and marks visited[0] instead of the start value. The planned cost model was not implemented."
abc303_c,Dash,medium,F-F-F,WRONG_ANSWER,8,14,0.5714285714285714,Correct,Low,Implementation,Wrong Answer / Incoherent Implementation,Simulation / Hash Set,"None. The plan specified maintaining the current position, decrementing health per move, the negative-health stop, and consuming an item only when health < K.","The code never maintains a position: it resets x, y to (H, 0) inside every iteration, so the coordinate it looks up is derived from the remaining health rather than from the walk. Health and the x coordinate are also conflated in the same variable H. The item and threshold logic was copied from the plan, but the simulation state it operates on is meaningless."
abc303_d,Shift vs. CapsLock,medium,F-F-F,WRONG_ANSWER,1,15,0.0666666666666666,Correct,Medium,Implementation,Wrong Answer / Misimplemented Recurrence,Dynamic Programming,None. The plan gave the transition new_dp[s] = min over s' of dp[s'] + (Z if s != s' else 0) + typing cost.,"The code drops the minimum entirely and always takes the value from the opposite state, so staying in the same Caps Lock state is never considered and a toggle cost is added on almost every character. It also decides the toggle by comparing the character rather than the state pair. The sample already gives 17 instead of 9, and only the single-character case passes."
abc304_a,First Player,easy,F-F-F,WRONG_ANSWER,5,14,0.3571428571428571,Correct,High,Implementation,Wrong Answer / Type Error in Comparison,Sorting / Simulation,None. The plan stated that ages are compared as plain integers and that output starts from the youngest with modulo wrap.,"The code stores the age as the raw string from split() and takes min() over (age, name) tuples, so ages are compared lexicographically and '31' sorts before '5'. The cyclic printing that follows is exactly as planned, which is why 5/14 tests still pass. A one-token int() conversion separates this code from a full pass."
abc304_c,Virus,medium,F-F-F,RUNTIME_ERROR,0,15,0.0,Correct,High,Implementation,Runtime Error / Input Parsing,Graph / BFS,None. The plan specified squared-distance comparison against D*D and a BFS from person 1 over the resulting components.,"The algorithm is implemented exactly as planned, including the integer squared-distance test that avoids square roots. The only defect is the input line X, Y = [list(...) for _ in range(N)], which tries to unpack N coordinate rows into two names and raises a ValueError for any N != 2. This is a pure parsing bug on top of a faithful implementation."
abc304_d,A Piece of Cake,medium,F-F-F,RUNTIME_ERROR,0,14,0.0,Correct,High,Implementation,Runtime Error / Input Parsing,Sorting / Binary Search,"None. The plan specified bisect on the sorted cut lines, a dictionary keyed by cell, and the rule that the minimum is 0 when some cell is empty.","The counting logic, the dictionary choice over a dense table, and the empty-cell rule all follow the plan. The failure is the input line A, a = map(int, input().split()), sorted(...), which binds A to a map object, so (A + 1) * (B + 1) raises a TypeError. Reading A and B as single integers on their own lines would make this code pass."
abc304_e,Good Graph,hard,F-F-F,RUNTIME_ERROR,0,13,0.0,Correct,Medium,Implementation,Runtime Error / Undefined Symbol,Disjoint Set Union,"None. The plan specified building the DSU over the given edges first, then mapping the K forbidden pairs to component roots.","The code defines find and union but never creates the parent and size arrays, so the first find call raises a NameError. It also collects the M edges into a list and never unions them, meaning the component structure the plan is built on would be missing even if the arrays existed. The query logic itself matches the plan exactly."
abc305_d,Sleep Log,hard,F-F-F,RUNTIME_ERROR,0,14,0.0,Correct,Medium,Implementation,Runtime Error / Index Base Mismatch,Prefix Sum / Binary Search,"None, though the plan's phrasing of P as one entry per index of A invited a compressed variant.","The code builds P with one entry per sleep session (length about N/2) but then indexes it with k obtained from bisect over the full array A, which runs off the end. Its parity test is also shifted: the plan specified adding t - A_k when k is even in 1-indexed terms, and the code tests k % 2 == 0 on a 0-indexed k, which is the opposite set of positions. Both defects are index-base handling rather than algorithm choice."
abc305_e,Art Gallery on Graph,hard,F-F-F,TIMEOUT,3,15,0.2,Correct,Low,Implementation,Timeout / Missing Adjacency Structure,Graph / Dijkstra-style Relaxation,None. The plan specified per-vertex adjacency lists and relaxing each neighbour with h - 1 from a max-heap.,"The code never builds adjacency lists and instead scans the whole edge list on every pop, treating any edge whose first endpoint differs from the current vertex as a neighbour. That is both O(M) per pop, which times out, and semantically wrong, since it relaxes unrelated vertices; the smaller tests show a wrong vertex set as well. The relaxation rule and the best >= 0 output condition came straight from the plan."
abc306_c,Centers,medium,P-F-F,RUNTIME_ERROR,0,15,0.0,Correct,Medium,Implementation,Runtime Error / Type Error,Sorting / Counting,"None. The plan specified two arrays of size N, a per-value counter and the recorded middle index.","The code uses a defaultdict of lists and then overwrites the list with a bare integer once the second occurrence is seen, so the third occurrence calls append on an int and raises an AttributeError. The sorting key that follows is exactly the planned one. Using the two plain arrays the plan named would have avoided the type change entirely."
abc306_d,Poisonous Full,medium,F-F-F,WRONG_ANSWER,8,15,0.5333333333333333,Correct,Medium,Implementation,Wrong Answer / Omitted Transition,Dynamic Programming,"None. The plan stated that an antidotal course leads to the healthy state from either previous state, and that skipping keeps both states.","The code implements healthy = max(healthy, upset + Y) and omits the healthy + Y branch, so eating an antidotal course while already healthy is never counted. On the third sample this loses exactly the two positive antidotal courses and yields 3900000000 instead of 4100000000. One transition out of the three the plan listed is missing."
abc306_e,Best Performances,hard,F-F-F,TIMEOUT,0,13,0.0,Correct,Low,Implementation,Runtime Error + Timeout / Malformed Fenwick Tree,Fenwick Tree / Order Statistics,"None. The plan specified a Fenwick tree carrying both counts and sums over compressed ranks, plus a descending walk for the K-th largest.","The code builds only a count tree with no sum tree, so the planned answer formula cannot be evaluated. It also compresses ranks from the all-zero initial array, giving a single rank, and then calls update with the raw value Y as an index, which runs past the end of the tree and raises an IndexError on test 0; larger tests exhaust the time limit instead, which is why the aggregate status is TIMEOUT. The K-th largest search is a plain binary search over prefix counts rather than the descending tree walk the plan specified."
abc307_c,Ideal Sheet,medium,F-F-F,WRONG_ANSWER,14,16,0.875,Correct,Medium,Implementation,Wrong Answer / Incomplete Placement Enumeration,Grid / Brute Force,None. The plan specified normalizing each sheet's black cells to its bounding box and enumerating placements of those boxes inside X.,"The code skips the normalization step and shifts the raw coordinates over the ad hoc range(-H_X + 1, H_A + 1), which neither covers all valid placements nor stays inside X. Its early fit check also compares raw maxima against H_X and W_X, rejecting sheets whose black cells sit far from the origin. 14/16 tests still pass because most placements happen to fall inside the scanned range."
abc308_b,Default Price,easy,F-F-F,RUNTIME_ERROR,0,12,0.0,Correct,Medium,Implementation,Runtime Error / Input Parsing,Hash Map / Simulation,None. The plan warned explicitly that the price line holds M+1 values with P_0 first and that this is easy to misalign.,"The code slices colors as data[2:N+2] and then treats everything after it as prices, which still contains the M colour names D_i, so int() raises a ValueError on the first of them. It also zips the eaten plates with prices instead of building the map from D to P. The warning the plan carried was the exact failure that occurred."
abc308_c,Standings,medium,F-F-F,WRONG_ANSWER,0,15,0.0,Correct,Medium,Implementation,Wrong Answer / Wrong Tie-Break and 0-Indexed Output,Sorting / Exact Rational Comparison,"None. The plan specified exact rational comparison, descending by rate, and ascending by index on ties.","The code adopts the plan's exact Fraction comparison but sorts the (rate, index) tuples with reverse=True, which also reverses the index order and breaks ties backwards. It additionally prints the 0-based loop variable instead of the 1-based person number, so every line is off by one and all 15 tests fail. Sorting by (-rate, index) would fix both aspects of the ordering."
abc308_d,Snuke Maze,medium,F-F-F,WRONG_ANSWER,8,15,0.5333333333333333,Correct,Medium,Implementation,Wrong Answer / Wrong Cycle Mapping,Grid / BFS,"None. The plan stated that the letter fixes the position in the s, n, u, k, e cycle and that the start must be checked for 's'.","The code derives the next required letter as chr(ord('a') + (ord(c) - ord('a') + 1) % 5), which maps letters through the alphabet instead of through the word snuke, so almost no legal move is accepted. It also never verifies that (1,1) holds 's' before starting. The BFS skeleton and the visited-grid argument came from the plan unchanged."
